Product ID,Day,Month,Year,Week_of_Year,Rainfall,Category,DayOfWeek,IsAHoliday,Units Sold
0,2,1,2022,52,7.6,YOGHURT,7,1,6
0,1,1,2022,52,0.1,YOGHURT,6,1,6
0,1,1,2022,52,0.1,YOGHURT,6,1,1
0,1,1,2022,52,0.1,YOGHURT,6,1,6
0,2,1,2022,52,7.6,YOGHURT,7,1,10
0,2,1,2022,52,7.6,YOGHURT,7,1,1
0,3,1,2022,1,7.3,YOGHURT,1,0,1
0,7,1,2022,1,0.0,YOGHURT,5,0,8
0,7,1,2022,1,0.0,YOGHURT,5,0,13
0,7,1,2022,1,0.0,YOGHURT,5,0,4
0,7,1,2022,1,0.0,YOGHURT,5,0,2
0,8,1,2022,1,0.0,YOGHURT,6,1,6
0,8,1,2022,1,0.0,YOGHURT,6,1,6
0,8,1,2022,1,0.0,YOGHURT,6,1,1
0,9,1,2022,1,0.3,YOGHURT,7,1,2
0,9,1,2022,1,0.3,YOGHURT,7,1,16
0,9,1,2022,1,0.3,YOGHURT,7,1,12
0,9,1,2022,1,0.3,YOGHURT,7,1,36
0,9,1,2022,1,0.3,YOGHURT,7,1,9
0,8,1,2022,1,0.0,YOGHURT,6,1,10
0,8,1,2022,1,0.0,YOGHURT,6,1,6
0,8,1,2022,1,0.0,YOGHURT,6,1,10
0,8,1,2022,1,0.0,YOGHURT,6,1,1
0,9,1,2022,1,0.3,YOGHURT,7,1,3
0,9,1,2022,1,0.3,YOGHURT,7,1,5
0,10,1,2022,2,0.1,YOGHURT,1,0,6
0,10,1,2022,2,0.1,YOGHURT,1,0,12
0,10,1,2022,2,0.1,YOGHURT,1,0,25
0,10,1,2022,2,0.1,YOGHURT,1,0,6
0,10,1,2022,2,0.1,YOGHURT,1,0,4
0,11,1,2022,2,0.0,YOGHURT,2,0,6
0,11,1,2022,2,0.0,YOGHURT,2,0,2
0,11,1,2022,2,0.0,YOGHURT,2,0,6
0,11,1,2022,2,0.0,YOGHURT,2,0,20
0,11,1,2022,2,0.0,YOGHURT,2,0,12
0,11,1,2022,2,0.0,YOGHURT,2,0,2
0,11,1,2022,2,0.0,YOGHURT,2,0,3
0,12,1,2022,2,0.0,YOGHURT,3,0,4
0,12,1,2022,2,0.0,YOGHURT,3,0,6
0,12,1,2022,2,0.0,YOGHURT,3,0,6
0,12,1,2022,2,0.0,YOGHURT,3,0,18
0,12,1,2022,2,0.0,YOGHURT,3,0,3
0,13,1,2022,2,0.0,YOGHURT,4,0,6
0,13,1,2022,2,0.0,YOGHURT,4,0,12
0,14,1,2022,2,0.0,YOGHURT,5,0,6
0,13,1,2022,2,0.0,YOGHURT,4,0,9
0,14,1,2022,2,0.0,YOGHURT,5,0,4
0,14,1,2022,2,0.0,YOGHURT,5,0,1
0,14,1,2022,2,0.0,YOGHURT,5,0,2
0,13,1,2022,2,0.0,YOGHURT,4,0,6
0,13,1,2022,2,0.0,YOGHURT,4,0,2
0,17,1,2022,3,0.0,YOGHURT,1,0,6
0,17,1,2022,3,0.0,YOGHURT,1,0,1
0,15,1,2022,2,2.3,YOGHURT,6,1,3
0,15,1,2022,2,2.3,YOGHURT,6,1,3
0,16,1,2022,2,0.0,YOGHURT,7,1,6
0,16,1,2022,2,0.0,YOGHURT,7,1,30
0,15,1,2022,2,2.3,YOGHURT,6,1,16
0,15,1,2022,2,2.3,YOGHURT,6,1,3
0,16,1,2022,2,0.0,YOGHURT,7,1,4
0,15,1,2022,2,2.3,YOGHURT,6,1,22
0,17,1,2022,3,0.0,YOGHURT,1,0,1
0,17,1,2022,3,0.0,YOGHURT,1,0,50
0,17,1,2022,3,0.0,YOGHURT,1,0,6
0,18,1,2022,3,0.0,YOGHURT,2,0,2
0,18,1,2022,3,0.0,YOGHURT,2,0,12
0,18,1,2022,3,0.0,YOGHURT,2,0,18
0,18,1,2022,3,0.0,YOGHURT,2,0,12
0,18,1,2022,3,0.0,YOGHURT,2,0,3
0,18,1,2022,3,0.0,YOGHURT,2,0,5
0,19,1,2022,3,0.0,YOGHURT,3,0,32
0,19,1,2022,3,0.0,YOGHURT,3,0,12
0,19,1,2022,3,0.0,YOGHURT,3,0,74
0,19,1,2022,3,0.0,YOGHURT,3,0,44
0,19,1,2022,3,0.0,YOGHURT,3,0,4
0,19,1,2022,3,0.0,YOGHURT,3,0,1
0,19,1,2022,3,0.0,YOGHURT,3,0,3
0,20,1,2022,3,0.0,YOGHURT,4,0,22
0,20,1,2022,3,0.0,YOGHURT,4,0,16
0,20,1,2022,3,0.0,YOGHURT,4,0,6
0,20,1,2022,3,0.0,YOGHURT,4,0,13
0,20,1,2022,3,0.0,YOGHURT,4,0,4
0,21,1,2022,3,0.0,YOGHURT,5,0,5
0,21,1,2022,3,0.0,YOGHURT,5,0,12
0,22,1,2022,3,0.0,YOGHURT,6,1,16
0,22,1,2022,3,0.0,YOGHURT,6,1,10
0,21,1,2022,3,0.0,YOGHURT,5,0,7
0,22,1,2022,3,0.0,YOGHURT,6,1,5
0,22,1,2022,3,0.0,YOGHURT,6,1,6
0,21,1,2022,3,0.0,YOGHURT,5,0,10
0,21,1,2022,3,0.0,YOGHURT,5,0,6
0,21,1,2022,3,0.0,YOGHURT,5,0,4
0,22,1,2022,3,0.0,YOGHURT,6,1,5
0,22,1,2022,3,0.0,YOGHURT,6,1,12
0,23,1,2022,3,0.0,YOGHURT,7,1,26
0,23,1,2022,3,0.0,YOGHURT,7,1,20
0,23,1,2022,3,0.0,YOGHURT,7,1,33
0,23,1,2022,3,0.0,YOGHURT,7,1,6
0,23,1,2022,3,0.0,YOGHURT,7,1,4
0,23,1,2022,3,0.0,YOGHURT,7,1,3
0,23,1,2022,3,0.0,YOGHURT,7,1,3
